id;name;year_from;year_to
2033;Q60;2013;2022
2034;Q70;2013;2019
2035;QX30;2016;2019
2036;QX4;1996;2003
2037;QX50;2013;2025
2038;QX55;2021;2025
2039;QX56;2004;2013
2040;QX60;2013;2025
2041;QX70;2013;2017
2042;QX80;2013;2025
2043;Elba;1991;1997
2044;Mille;1994;1997
2045;Mini;1965;1993
2046;Scout;1971;1980
2047;Travelall;1969;1975
2048;S1;2004;2012
2049;Arisun;2015;2025
2050;Dena;2011;2025
2051;Paykan;1985;2005
2052;Runna;2012;2025
2053;Sahra;1989;2001
2054;Samand;2001;2022
2055;Sarir;2006;2017
2056;Soren;2007;2025
2057;Tara;2021;2025
2058;Commendatore 112i;1993;1993
2059;Imperator 108i;1984;1993
2060;Spyder;1983;1993
2061;117;1968;1981
2062;Amigo;1989;2000
2063;Ascender;2003;2008
2064;Aska;1983;2002
2065;Axiom;2002;2004
2066;Bellett;1963;1973
2067;Bighorn;1981;2002
2068;D-Max;2002;2025
2069;Fargo;1980;2002
2070;Fargo Filly;1997;2005
2071;Florian;1967;1983
2072;Gemini;1974;2000
2073;Hombre;1995;2000
2074;Impulse;1983;1993
2075;KB;1980;2003
2076;Lingtuo;2018;2025
2077;Midi;1986;1996
2078;MU;1989;2004
2079;MU-7;2004;2013
2080;MU-X;2013;2025
2081;Oasis;1995;1999
2082;Piazza;1980;1993
2083;Rodeo;1989;2004
2084;Stylus;1990;1993
2085;T17;2021;2025
2086;T30 Explorer;2023;2025
2087;TF (Pickup);1988;2002
2088;Trooper;1981;2002
2089;VehiCross;1997;2001
2090;Wizard;1990;2004
2091;Massif;2007;2011
2092;A5;2019;2021
2093;E30X;2024;2025
2094;Hunter;2021;2025
2095;iEV7L;2017;2025
2096;iEV7S;2018;2023
2097;iEVA50;2018;2025
2098;iEVS4;2019;2022
2099;J2 (Yueyue);2010;2016
2100;J3 (Tongyue,Tojoy);2009;2017
2101;J4 (Heyue A30);2013;2019
2102;J5 (Heyue);2014;2017
2103;J6 (Heyue RS);2011;2015
2104;J7;2020;2025
2105;J7 (Binyue);2008;2015
2106;Jiayue X7;2020;2021
2107;JS2;2018;2025
2108;JS2 Pro;2024;2025
2109;JS3;2023;2025
2110;JS4;2020;2025
2111;JS5;2024;2025
2112;JS6;2022;2025
2113;JS9;2025;2025
2114;M4;2016;2025
2115;M5;2011;2025
2116;M1 (Refine);2006;2011
2117;Refine L6 Max;2020;2025
2118;Refine M3;2016;2025
2119;Refine RF8;2023;2025
2120;S1 (Rein);2007;2013
2121;S3 Pro;2022;2025
2122;S4;2018;2022
2123;S5 (Eagle);2013;2021
2124;S6;2021;2025
2125;S7;2020;2025
2126;Sehol A5 Plus;2021;2025
2127;Sehol Aipao;2022;2025
2128;Sehol E20X;2018;2021
2129;Sehol X6;2022;2025
2130;Sehol X8;2020;2025
2131;Sehol X8 Plus;2022;2025
2132;S2;2015;2019
2133;S3;2014;2025
2134;T6;2015;2025
2135;T8;2023;2025
2136;T8 Pro;2020;2025
2137;T9;2023;2025
2138;J5;2024;2025
2139;J7;2023;2025
2140;J8;2024;2025
2141;E-Pace;2017;2024
2142;E-type;1961;1975
2143;F-Pace;2016;2025
2144;F-Type;2013;2024
2145;I-Pace;2018;2024
2146;Mark 2;1959;1967
2147;Mark IX;1958;1961
2148;S-Type;1963;2008
2149;XE;2015;2024
2150;XF;2007;2024
2151;XFR;2009;2015
2152;XJ;1968;2019
2153;XJ220;1992;1994
2154;XJR;1994;2019
2155;XJS;1975;1996
2156;XK;1948;2014
2157;XKR;1998;2014
2158;X-Type;2001;2009
2159;Avenger;2023;2025
2160;Cherokee;1983;2023
2161;CJ;1966;1987
2162;Comanche;1985;1992
2163;Commander;2005;2010
2164;Compass;2006;2025
2165;Gladiator;2019;2025
2166;Grand Cherokee;1992;2025
2167;Grand Commander;2018;2022
2168;Wagoneer;1984;2025
2169;Liberty (North America);2001;2012
2170;Liberty (Patriot);2006;2016
2171;Renegade;2014;2025
2172;Wagoneer S;2024;2025
2173;Wrangler;1986;2025
2174;Interceptor;1966;1976
2175;S-V8;2001;2003
2176;DASHING;2022;2025
2177;Freedom;2025;2025
2178;G700;2025;2025
2179;Shanhai L6;2024;2025
2180;Shanhai L7;2024;2025
2181;Shanhai L9;2023;2025
2182;Shanhai T1;2024;2025
2183;Shanhai T2;2024;2025
2184;T1;2025;2025
2185;T2;2023;2025
2186;Traveller;2023;2025
2187;X50;2024;2025
2188;X70;2018;2025
2189;X70L;2025;2025
2190;X70 PLUS;2020;2025
2191;X70 Pro;2023;2025
2192;X90;2019;2025
2193;X90 PLUS;2021;2025
2194;X90 Pro;2024;2025
2195;X95;2019;2023
2196;VA3;2019;2025
2197;VA7;2024;2025
2198;VS5;2019;2025
2199;VS7;2020;2025
2200;VS8;2025;2025
2201;Chuanqi;2005;2006
2202;01;2024;2025
2203;07;2024;2025
2204;Haise;2000;2022
2205;Haise S;2023;2025
2206;Baodian;2006;2025
2207;Dadao;2023;2025
2208;Vigus;2023;2025
2209;Vigus Work;2021;2025
2210;Yuhu 7;2017;2025
2211;01;2023;2025
2212;EV3;2023;2025
2213;GSE (Yi);2022;2025
2214;UFO A380;2005;2015
2215;E5;2021;2025
2216;Shiyue;2023;2025
2217;X3;2020;2025
2218;X3 Pro;2022;2025
2219;X7 Kunlun;2023;2025
2220;2317;1999;2001
2221;Revero;2016;2020
2222;Revero GT;2020;2025
2223;K1;2014;2018
2224;K150;2014;2017
2225;K150GT;2017;2023
2226;Actyon;2024;2025
2227;Korando;2023;2025
2228;Rexton;2023;2025
2229;Rexton Sports;2023;2025
2230;Tivoli;2023;2025
2231;Torres;2023;2025
2232;Avella;1994;2000
2233;Borrego;2008;2011
2234;Cachet;2014;2020
2235;Cadenza;2009;2021
2236;Capital;1989;1996
2237;Carens;1999;2025
2238;Carnival;1998;2025
2239;Carstar;1999;2003
2240;Ceed;2006;2025
2241;Ceed GT;2012;2021
2242;Cerato;2003;2025
2243;Clarus;1996;2001
2244;Concord;1987;1995
2245;Elan;1996;1999
2246;Enterprise;1997;2002
2247;EV3;2024;2025
2248;EV4;2025;2025
2249;EV5;2023;2025
2250;EV6;2021;2025
2251;EV9;2023;2025
2252;Forte;2008;2025
2253;Joice;1999;2004
2254;K3;2012;2025
2255;K4;2024;2025
2256;K5;2010;2025
2257;K7;2009;2021
2258;K8;2021;2025
2259;K9;2012;2025
2260;K900;2014;2022
2261;KX1;2018;2025
2262;KX3;2019;2023
2263;KX5;2016;2022
2264;KX7;2017;2021
2265;Lotze;2005;2010
2266;Magentis;2000;2010
2267;Mentor;1996;2002
2268;Mohave;2008;2025
2269;Morning;2004;2025
2270;Niro;2016;2025
2271;Opirus;2003;2011
2272;Optima;2000;2020
2273;Pegas;2017;2025
2274;Picanto;2004;2025
2275;Potentia;1992;2001
2276;Pregio;1995;2007
2277;Pride;1987;2017
2278;Proceed;2018;2025
2279;PV5;2025;2025
2280;Quanlima;2002;2006
2281;Quoris;2012;2018
2282;Ray;2011;2025
2283;Retona;1998;2003
2284;Rio;1999;2023
2285;Sedona;1998;2021
2286;Seltos;2019;2025
2287;Sephia;1992;2004
2288;Shuma;1996;2004
2289;Sonet;2020;2025
2290;Sorento;2002;2025
2291;Soul;2008;2025
2292;Soul EV;2014;2023
2293;Spectra;2000;2011
2294;Sportage;1993;2025
2295;Sportage (China);2018;2025
2296;Stinger;2017;2023
2297;Stonic;2017;2025
2298;Syros;2025;2025
2299;Tasman;2025;2025
2300;Telluride;2019;2025
2301;Towner;1999;2002
2302;Venga;2009;2018
2303;Visto;1999;2004
2304;XCeed;2019;2025
2305;X-Trek;2003;2006
2306;001;2024;2025
2307;Agera;2011;2018
2308;CC850;2022;2025
2309;CC8S;2002;2004
2310;CCR;2004;2006
2311;CCX;2006;2010
2312;Gemera;2024;2025
2313;Jesko;2021;2025
2314;One:1;2014;2014
2315;Regera;2015;2022
2316;Т98;2000;2025
2317;X-Bow;2008;2025
2318;F3;2021;2025
2319;350/400 GT;1964;1968
2320;Aventador;2011;2022
2321;Centenario;2016;2018
2322;Countach;1974;1991
2323;Countach LPI 800-4;2021;2023
2324;Diablo;1990;2001
2325;Egoista;2013;2013
2326;Espada;1968;1981
2327;Fenomeno;2025;2025
2328;Gallardo;2003;2013
2329;Huracán;2014;2024
2330;Islero;1968;1969
2331;Jalpa;1981;1988
2332;Jarama;1968;1976
2333;LM001;1981;1981
2334;LM002;1986;1993
2335;Miura;1966;1973
2336;Murcielago;2001;2010
2337;Reventon;2007;2010
2338;Revuelto;2023;2025
2339;Sesto Elemento;2010;2011
2340;Sián;2019;2022
2341;Silhouette;1976;1979
2342;Temerario;2024;2025
2343;Urraco;1972;1981
2344;Urus;2017;2025
2345;Veneno;2013;2013
2346;Appia;1953;1963
2347;Aurelia;1950;1953
2348;A 112;1982;1986
2349;Beta;1972;1984
2350;Dedra;1989;2000
2351;Delta;1979;2014
2352;Flaminia;1952;1970
2353;Flavia;2012;2014
2354;Fulvia;1968;1975
2355;Gamma;1976;1984
2356;Hyena;1992;1996
2357;Kappa;1994;2000
2358;Lambda;1922;1931
2359;Lybra;1999;2006
2360;Monte Carlo;1975;1981
2361;Musa;2004;2012
2362;Phedra;2002;2010
2363;Prisma;1982;1989
2364;Rally 037;1982;1983
2365;Stratos;1973;1976
2366;Thema;1984;2014
2367;Thesis;2002;2009
2368;Trevi;1980;1984
2369;Voyager;2011;2015
2370;Y10;1985;1995
2371;Ypsilon;1995;2025
2372;Zeta;1995;2002
2373;Fashion (CV9);2006;2011
2374;Forward;2006;2011
2375;Х9;2005;2016
2376;X5;2012;2020
2377;X6;2005;2016
2378;X7;2015;2019
2379;Defender;1983;2025
2380;Discovery;1989;2025
2381;Discovery Sport;2014;2025
2382;Range Rover Evoque;2011;2025
2383;Freelander;1997;2014
2384;Range Rover;1970;2025
2385;Range Rover Sport;2005;2025
2386;Range Rover Velar;2017;2025
2387;Series I;1948;1956
2388;Series II;1958;1971
2389;Series III;1971;1985
2390;B01;2025;2025
2391;B05 (Lafa 5);2025;2025
2392;B10;2025;2025
2393;C01;2022;2025
2394;C10;2023;2025
2395;C11;2021;2025
2396;C16;2024;2025
2397;S01;2019;2021
2398;T03;2020;2025
2399;Mengo;2020;2023
2400;Mengo Pro;2025;2025
2401;L380;2024;2025
2402;TX;2018;2025
2403;CT;2010;2022
2404;ES;1989;2025
2405;GS;1993;2020
2406;GS F;2015;2018
2407;GX;2002;2025
2408;HS;2009;2018
2409;IS;1999;2025
2410;IS F;2007;2014
2411;LBX;2023;2025
2412;LC;2017;2025
2413;LFA;2010;2012
2414;LM;2019;2025
2415;LS;1989;2025
2416;LX;1995;2025
2417;NX;2014;2025
2418;RC;2014;2025
2419;RC F;2014;2025
2420;RX;1997;2025
2421;RZ;2022;2025
2422;SC;1991;2010
2423;TX;2023;2025
2424;UX;2018;2025
2425;Leopard;1999;2014
2426;650 EV;2018;2020
2427;Breez (520);2007;2014
2428;Cebrium (720);2014;2018
2429;Celliya (530);2014;2018
2430;Murman (820);2015;2020
2431;Myway;2016;2020
2432;Smily;2008;2018
2433;Solano;2008;2018
2434;X50;2015;2019
2435;X60;2011;2018
2436;X70;2017;2020
2437;JS 51;2009;2016
2438;Aviator;2002;2025
2439;Blackwood;2001;2002
2440;Capri;1952;1959
2441;Continental;1939;2020
2442;Continental Mark;1968;1983
2443;Corsair;2019;2025
2444;LS;1999;2006
2445;Mark III;1968;1971
2446;Mark IV;1972;1976
2447;Mark LT;2005;2014
2448;Mark VII;1984;1992
2449;Mark VIII;1992;1998
2450;MKC;2014;2019
2451;MKS;2008;2016
2452;MKT;2009;2019
2453;MKX;2006;2018
2454;MKZ;2006;2020
2455;Nautilus;2018;2025
2456;Navigator;1997;2025
2457;Premiere;1955;1960
2458;Town Car;1980;2011
2459;Versailles;1977;1980
2460;Z;2021;2025
2461;Zephyr;1936;1942
2462;L;2024;2025
2463;7;2022;2025
2464;9;2022;2025
2465;S6 Pro;2023;2025
2466;Smurf;2025;2025
2467;X3 Pro;2022;2025
2468;X6 Pro;2023;2025
2469;i6;2025;2025
2470;i8;2025;2025
2471;L6;2024;2025
2472;L7;2023;2025
2473;L8;2022;2025
2474;L9;2022;2025
2475;Mega;2024;2025
2476;One;2019;2023
2477;EC30;2018;2020
2478;2-Eleven;2007;2011
2479;340R;2000;2000
2480;3-Eleven;2015;2018
2481;Eclat;1975;1986
2482;Elan;1989;1995
2483;Eletre;2022;2025
2484;Elise;1995;2021
2485;Elite;1974;1982
2486;Emeya;2024;2025
2487;Emira;2021;2025
2488;Esprit;1976;2004
2489;Europa;1970;1976
2490;Europa S;2006;2010
2491;Evija;2019;2025
2492;Evora;2009;2021
2493;Excel;1982;1992
2494;Exige;2001;2021
2495;FX4;1984;1989
2496;TX;1998;2010
2497;1302 Волынь;1990;2001
2498;967;1965;1989
2499;969;1966;1992
2500;Air;2021;2025
2501;Gravity;2024;2025
2502;R7;2024;2025
2503;S7;2023;2025
2504;Luxgen7 MPV;2009;2014
2505;Luxgen7 SUV;2013;2017
2506;Luxgen5;2012;2020
2507;U6 Turbo;2013;2025
2508;U7 Turbo;2013;2020
2509;01;2017;2025
2510;02;2018;2025
2511;03;2018;2025
2512;05;2020;2025
2513;06;2020;2025
2514;07;2024;2025
2515;08;2023;2025
2516;09;2021;2025
2517;10;2025;2025
2518;900;2025;2025
2519;Z10;2024;2025
2520;Z20;2024;2025
2521;S800;2025;2025
2522;Armada;1990;2005
2523;Bolero;2001;2020
2524;CJ-3;1988;1992
2525;CL;1993;2000
2526;Commander;1990;2013
2527;Marshal;2002;2008
2528;MM;1990;2000
2529;NC 640 DP;1985;2000
2530;Scorpio;2002;2025
2531;Thar;2010;2025
2532;Verito;2011;2019
2533;Voyager;1997;2000
2534;Xylo;2009;2019
2535;30X;2020;2025
2536;X3 Pro;2022;2022
2537;GTS;1997;1999
2538;LM 400;1994;1998
2539;LM 500;1994;1998
2540;Mantis;1997;1999
2541;Marcasite;2002;2007
2542;5EXi;2004;2019
2543;Sportster;2003;2019
2544;B1;2010;2014
2545;B2;2010;2014
2546;1000;1990;2000
2547;800;1983;2012
2548;Alto;2000;2012
2549;Baleno;1999;2007
2550;Esteem;1994;2007
2551;Gypsy;1983;2019
2552;Omni;1984;2019
2553;Versa;2001;2009
2554;Wagon R;1999;2009
2555;Zen;1993;2006
2556;228;1986;1992
2557;3200 GT;1998;2002
2558;420;1985;1994
2559;4200 GT;2002;2007
2560;Barchetta Stradale;1991;1994
2561;Biturbo;1981;1994
2562;Bora;1971;1980
2563;Chubasco;1990;1990
2564;Ghibli;1992;2024
2565;GranCabrio;2010;2025
2566;GranTurismo;2007;2025
2567;Grecale;2022;2025
2568;GT2 Stradale;2024;2025
2569;Indy;1969;1974
2570;Karif;1988;2000
2571;Khamsin;1974;1982
2572;Kyalami;1976;1985
2573;Levante;2016;2024
2574;MC12;2004;2006
2575;MC20;2020;2025
2576;MCPura;2025;2025
2577;Merak;1975;1983
2578;Mexico;1967;1972
2579;Quattroporte;1979;2024
2580;Royale;1985;1993
2581;Shamal;1989;1995
2582;Murena;1980;1983
2583;D60;2019;2023
2584;D90;2017;2025
2585;EUNIQ 5;2019;2022
2586;EUNIQ 6;2020;2023
2587;G10;2013;2025
2588;G20;2019;2025
2589;G50;2019;2025
2590;G50 Max;2025;2025
2591;G50 Plus;2021;2025
2592;G70;2023;2025
2593;G90;2022;2025
2594;Interstellar;2023;2025
2595;MIFA 5;2022;2025
2596;MIFA 7;2023;2025
2597;MIFA 9;2021;2025
2598;T70;2019;2025
2599;T90;2021;2025
2600;Territory;2022;2025
2601;V70;2023;2025
2602;57;2002;2012
2603;62;2002;2012
2604;Exelero;2005;2005
2605;SW38;1936;1938
2606;1000;1967;1977
2607;121;1975;2003
2608;1300;1975;1977
2609;2;2003;2025
2610;3;2003;2025
2611;323;1977;2003
2612;3 MPS;2006;2013
2613;5;2005;2018
2614;6;2002;2025
2615;616;1970;1978
2616;626;1979;2002
2617;6e;2025;2025
2618;6 MPS;2005;2008
2619;818;1974;1978
2620;929;1972;1992
2621;Atenza;2002;2019
2622;Autozam AZ-1;1992;1998
2623;Autozam AZ-3;1991;1998
2624;Autozam Clef;1992;1994
2625;Axela;2003;2019
2626;AZ-Offroad;1998;2014
2627;AZ-Wagon;1994;2012
2628;Biante;2008;2018
2629;Bongo;1966;2020
2630;Bongo Friendee;1995;2005
2631;BT-50;2006;2025
2632;B-series;1985;2006
2633;Capella;1982;2002
2634;Carol;1989;2025
2635;Chantez;1972;1976
2636;Cosmo;1967;1990
2637;Cronos;1991;1995
2638;CX-90;2023;2025
2639;CX-3;2015;2025
2640;CX-30;2019;2025
2641;CX-4;2016;2024
2642;CX-5;2011;2025
2643;CX-50;2022;2025
2644;CX-60;2022;2025
2645;CX-7;2006;2012
2646;CX-70;2024;2025
2647;CX-8;2017;2025
2648;CX-80;2024;2025
2649;CX-9;2006;2025
2650;Demio;1996;2019
2651;Efini MS-6;1991;1994
2652;Efini MS-8;1992;1997
2653;Efini MS-9;1991;1993
2654;Etude;1987;1989
2655;Eunos 100;1989;1994
2656;Eunos 300;1989;1992
2657;Eunos 500;1991;1996
2658;Eunos 800;1993;1997
2659;Eunos Cosmo;1990;1995
2660;Eunos Presso;1991;1998
2661;EZ-6;2024;2025
2662;EZ-60;2025;2025
2663;E-Series;1983;1999
2664;Familia;1985;2025
2665;Flair;2012;2025
2666;Flair Crossover;2014;2025
2667;Flair Wagon;2012;2025
2668;Lantis;1993;1997
2669;Laputa;1998;2006
2670;Luce;1977;1991
2671;Millenia;1994;2003
2672;MPV;1988;2016
2673;MX-3;1991;2000
2674;MX-30;2020;2025
2675;MX-5;1989;2025
2676;MX-6;1991;1997
2677;Navajo;1990;1994
2678;Persona;1988;1992
2679;Premacy;1999;2017
2680;Proceed;1961;2006
2681;Proceed Levante;1995;2001
2682;Proceed Marvie;1990;1999
2683;Protege;1989;2004
2684;Revue;1990;1998
2685;Roadster;1989;2025
2686;RX-5;1976;1980
2687;RX-7;1979;2002
2688;RX-8;2003;2012
2689;R360;1960;1966
2690;Savanna RX-7;1978;1992
2691;Scrum;1991;2025
2692;Sentia;1991;2000
2693;Spiano;2002;2008
2694;Tribute;2000;2011
2695;Verisa;2004;2015
2696;Xedos 6;1992;2000
2697;Xedos 9;1993;2003
2698;MP4-12C;2011;2014
2699;540C;2015;2021
2700;570GT;2016;2021
2701;570S;2015;2021
2702;600LT;2018;2021
2703;650S;2014;2017
2704;675LT;2015;2017
2705;720S;2017;2023
2706;750S;2023;2025
2707;765LT;2020;2023
2708;Artura;2021;2025
2709;Elva;2020;2025
2710;F1;1992;2000
2711;GT;2019;2023
2712;GTS;2023;2025
2713;P1;2013;2015
2714;Senna;2018;2019
2715;W1;2024;2025
2716;Club;1992;1999
2717;Monte Carlo;1996;1999
2718;Track;1992;2000
2719;190 SL;1955;1963
2720;220 (W187);1951;1955
2721;300 SLR;1954;1955
2722;GLC Coupe AMG;2016;2025
2723;AMG GT;2014;2025
2724;AMG ONE;2022;2025
2725;AMG PureSpeed;2024;2025
2726;A-Класс;1997;2025
2727;A-Класс AMG;2013;2025
2728;B-Класс;2005;2025
2729;Citan;2012;2025
2730;CLA;2013;2025
2731;CLA AMG;2013;2025
2732;CLC-Класс;2008;2011
2733;CLE;2023;2025
2734;CLE AMG;2023;2025
2735;CLK AMG GTR;1997;1999
2736;CLK-Класс;1997;2010
2737;CLK-Класс AMG;1999;2010
2738;CLS;2004;2023
2739;CLS AMG;2005;2023
2740;CL-Класс;1992;2014
2741;CL-Класс AMG;1999;2014
2742;C-Класс;1993;2025
2743;C-Класс AMG;1994;2025
2744;EQA;2021;2025
2745;EQB;2021;2025
2746;EQC;2019;2023
2747;EQE;2022;2025
2748;EQE AMG;2022;2025
2749;EQE SUV;2022;2025
2750;EQE SUV AMG;2022;2025
2751;EQS;2021;2025
2752;EQS AMG;2021;2025
2753;EQS SUV;2022;2025
2754;EQT;2023;2025
2755;EQV;2020;2025
2756;E-Класс;1992;2025
2757;E-Класс AMG;1994;2025
2758;GLA;2013;2025
2759;GLA AMG;2014;2025
2760;GLB AMG;2019;2025
2761;GLB;2019;2025
2762;GLC Coupe;2016;2025
2763;GLC EQ;2026;2026
2764;GLC;2015;2025
2765;GLC AMG;2016;2025
2766;GLE;2015;2025
2767;GLE AMG;2015;2025
2768;GLE Coupe;2015;2025
2769;GLE Coupe AMG;2015;2025
2770;GLK-Класс;2008;2015
2771;GLS;2015;2025
2772;GLS AMG;2015;2025
2773;GL-Класс;2006;2016
2774;GL-Класс AMG;2012;2016
2775;G-Класс;1979;2025
2776;G-Класс AMG;1994;2025
2777;G-Класс AMG 6x6;2013;2024
2778;Marco Polo;1996;2025
2779;Maybach EQS SUV;2023;2025
2780;Maybach GLS;2019;2025
2781;Maybach G 650 Landaulet;2017;2023
2782;Maybach SL;2024;2025
2783;Metris;2015;2023
2784;M-Класс;1997;2015
2785;M-Класс AMG;2000;2015
2786;R-Класс;2005;2017
2787;R-Класс AMG;2006;2007
2788;Simplex;1904;1909
2789;SLC;2016;2020
2790;SLC AMG;2016;2020
2791;SLK-Класс;1996;2016
2792;SLK-Класс AMG;2001;2016
2793;SLR McLaren;2003;2009
2794;SLS AMG;2010;2014
2795;SL-Класс;1954;2020
2796;SL-Класс AMG;1993;2025
2797;Maybach S-Класс;2014;2025
2798;S-Класс;1972;2025
2799;S-Класс AMG;1999;2025
2800;Typ 630;1926;1929
2801;T-Класс;2022;2025
2802;Vaneo;2001;2005
2803;Viano;2003;2014
2804;Vito;1996;2025
2805;V-Класс;1996;2025
2806;W100;1964;1981
2807;W105;1956;1959
2808;W108;1965;1972
2809;W110;1961;1968
2810;W111;1959;1971
2811;W114;1968;1977
2812;W115;1968;1977
2813;W120;1953;1962
2814;W121;1959;1961
2815;W123;1975;1985
2816;W124;1984;1993
2817;W128;1958;1960
2818;W136;1936;1955
2819;W138;1935;1940
2820;W142;1937;1942
2821;W180;1954;1959
2822;W186;1951;1957
2823;W188;1951;1958
2824;W189;1957;1962
2825;W191;1949;1952
2826;190 (W201);1982;1993
2827;W21;1933;1936
2828;W29;1934;1936
2829;X-Класс;2017;2020
2830;Capri;1990;1995
2831;Colony Park;1969;1978
2832;Cougar;1977;2002
2833;Eight;1949;1951
2834;Grand Marquis;1983;2011
2835;Marauder;2002;2004
2836;Mariner;2004;2010
2837;Marquis;1979;1986
2838;Milan;2005;2010
2839;Montego;1967;2007
2840;Monterey;1952;2007
2841;Mountaineer;1996;2010
2842;Mystique;1994;2000
2843;Sable;1986;2009
2844;Topaz;1983;1994
2845;Tracer;1991;1999
2846;Villager;1992;2002
2847;XR4Ti;1985;1989
2848;KR200;1952;1964
2849;Metrocab I;1987;2000
2850;Metrocab II (TTT);2001;2006
2851;3;2011;2025
2852;350;2010;2015
2853;4 EV;2022;2025
2854;5;2013;2025
2855;550;2009;2017
2856;5 EV;2020;2025
2857;5 Scorpio;2022;2025
2858;6;2010;2025
2859;6 Pro;2021;2025
2860;7;2023;2025
2861;750;2006;2016
2862;8;2025;2025
2863;Cyberster;2023;2025
2864;ES5;2024;2025
2865;F;1995;2002
2866;GS;2015;2019
2867;HS;2018;2025
2868;Maestro;1983;1990
2869;Metro;1982;1990
2870;MGA;1955;1962
2871;MGB;1966;1980
2872;Midget;1964;1979
2873;Montego;1984;1990
2874;Mulan;2022;2023
2875;One;2021;2025
2876;Pilot;2020;2025
2877;RV8;1992;1995
2878;RX5;2016;2025
2879;RX8;2018;2025
2880;RX9;2024;2025
2881;T60;2021;2025
2882;TD Midget;1950;1953
2883;TF;2002;2005
2884;Xpower SV;2003;2005
2885;ZR;2001;2005
2886;ZS;2001;2025
2887;ZT;2001;2005
2888;Microlino;2022;2025
2889;F8C;2009;2015
2890;M8;2009;2015
2891;MC;2000;2008
2892;M.Go;2009;2025
2893;Virgo;1999;2003
2894;TF 1800;1998;2001
2895;Aceman;2024;2025
2896;Cabrio;2004;2025
2897;Clubman;2007;2025
2898;Countryman;2010;2025
2899;Coupe;2011;2015
2900;Hatch;2000;2025
2901;Paceman;2012;2016
2902;Roadster;2012;2015
2903;3000 GT;1990;2001
2904;500;1960;1962
2905;Airtrek;2001;2023
2906;Aspire;1998;2003
2907;ASX;2010;2025
2908;Attrage;2014;2025
2909;Bravo;1991;1999
2910;Carisma;1995;2004
2911;Celeste;1975;1981
2912;Challenger;1996;2015
2913;Chariot;1983;2003
2914;Colt;1978;2025
2915;Cordia;1982;1990
2916;Debonair;1986;1999
2917;Delica;1979;2019
2918;Delica D:2;2011;2025
2919;Delica D:3;2011;2019
2920;Delica D:5;2007;2025
2921;Delica Mini;2023;2025
2922;Destinator;2025;2025
2923;Diamante;1990;2005
2924;Dignity;1999;2016
2925;Dingo;1998;2003
2926;Dion;2000;2005
2927;Eclipse;1989;2011
2928;Eclipse Cross;2017;2025
2929;eK Active;2004;2006
2930;eK Classic;2003;2005
2931;eK Custom;2013;2019
2932;eK Space;2014;2025
2933;eK Sport;2002;2013
2934;eK Wagon;2001;2025
2935;Emeraude;1992;1996
2936;Endeavor;2003;2011
2937;Eterna;1983;1996
2938;Freeca;1997;2017
2939;FTO;1994;2001
2940;Galant;1976;2012
2941;Galant Fortis;2007;2015
2942;Grandis;2003;2025
2943;GTO;1990;2005
2944;i;2006;2013
2945;i-MiEV;2009;2015
2946;Jeep J;1953;1998
2947;L200;1986;2025
2948;L300;1979;1999
2949;L400;1995;2006
2950;Lancer;1973;2017
2951;Lancer Cargo;2002;2019
2952;Lancer Evolution;1992;2016
2953;Lancer Ralliart;2003;2012
2954;Legnum;1996;2002
2955;Libero;1992;2003
2956;Minica;1984;2011
2957;Minicab;1984;2025
2958;Mirage;1978;2025
2959;Montero;1982;2021
2960;Montero Sport;1996;2025
2961;Outlander;2002;2025
2962;Outlander Sport;2010;2025
2963;Pajero;1982;2022
2964;Pajero iO;1998;2007
2965;Pajero Junior;1995;1998
2966;Pajero Mini;1994;2012
2967;Pajero Pinin;1998;2006
2968;Pajero Sport;1998;2025
2969;Pistachio;1999;2000
2970;Proudia;1999;2016
2971;Raider;2006;2009
2972;RVR;1991;2024
2973;Sapporo;1978;1990
2974;Savrin;2001;2014
2975;Sigma;1990;1996
2976;Space Gear;1994;2007
2977;Space Runner;1991;2002
2978;Space Star;1998;2025
2979;Space Wagon;1984;2004
2980;Starion;1982;1990
2981;Strada;1991;2005
2982;Toppo;1990;2013
2983;Town Box;1999;2025
2984;Tredia;1982;1987
2985;Triton;2006;2025
2986;Xforce;2023;2025
2987;Xpander;2017;2025
2988;Bubu Classic SSK;1987;1989
2989;Buddy;2020;2025
2990;Galue;1998;2020
2991;Galue 204;2008;2014
2992;Himiko;2008;2025
2993;Le-Seyde;1990;2004
2994;Like;2010;2012
2995;M55;2024;2025
2996;MC-1;1998;2007
2997;Nouera;2003;2012
2998;Orochi;2006;2014
2999;Ray;1996;2004
3000;Rock Star;2018;2022
3001;Ryoga;1998;2004
3002;Ryugi;2015;2025
3003;Viewt;1993;2025
3004;Yuga;2000;2002
3005;Zero 1;1996;2000
3006;Limo;2022;2023
3007;3 Wheeler;2011;2021
3008;4/4;1962;2019
3009;4 Seater;2004;2016
3010;AeroMax;2008;2010
3011;Aero 8;2001;2010
3012;Aero Coupe;2011;2016
3013;Aero SuperSports;2009;2016
3014;Plus 4;1950;2020
3015;Plus 8;1968;2018
3016;Plus Six;2019;2025
3017;Roadster;2004;2016
3018;Supersport;2025;2025
3019;Eight;1935;1937
3020;Marina;1971;1980
3021;2136;1976;1981
3022;2137;1976;1985
3023;2138;1976;1982
3024;2140;1976;1988
3025;2141;1986;1998
3026;2142;1990;2002
3027;3;2022;2025
